,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,img_seg_path,str_code,Unnamed: 0.1,Unnamed: 0,year,month,day,hour,minute,path_dyamond,UTC
518,518.0,518.0,518,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-17.nc,2016-9-6-8-30,1744,1744,2016,9,6,8,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000418800,17050.17
519,519.0,519.0,519,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-34.nc,2016-9-6-17-0,1761,1761,2016,9,6,17,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000422880,17050.34
520,520.0,520.0,520,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-29.nc,2016-9-6-14-30,1756,1756,2016,9,6,14,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000421680,17050.29
521,521.0,521.0,521,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-15.nc,2016-9-6-7-30,1742,1742,2016,9,6,7,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000418320,17050.15
522,522.0,522.0,522,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-12.nc,2016-9-6-6-0,1739,1739,2016,9,6,6,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000417600,17050.12
523,523.0,523.0,523,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-36.nc,2016-9-6-18-0,1763,1763,2016,9,6,18,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000423360,17050.36
524,524.0,524.0,524,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-25.nc,2016-9-6-12-30,1752,1752,2016,9,6,12,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000420720,17050.25
525,525.0,525.0,525,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_06/ImageSegTOOCAN_20160906-18.nc,2016-9-6-9-0,1745,1745,2016,9,6,9,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000419040,17050.18
526,526.0,526.0,526,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-16.nc,2016-9-7-8-0,1791,1791,2016,9,7,8,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000430080,17051.16
527,527.0,527.0,527,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-40.nc,2016-9-7-20-0,1815,1815,2016,9,7,20,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000435840,17051.4
528,528.0,528.0,528,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-35.nc,2016-9-7-17-30,1810,1810,2016,9,7,17,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000434640,17051.35
529,529.0,529.0,529,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-37.nc,2016-9-7-18-30,1812,1812,2016,9,7,18,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000435120,17051.37
530,530.0,530.0,530,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-48.nc,2016-9-8-0-0,1823,1823,2016,9,8,0,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000437760,17051.48
531,531.0,531.0,531,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-38.nc,2016-9-7-19-0,1813,1813,2016,9,7,19,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000435360,17051.38
532,532.0,532.0,532,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-18.nc,2016-9-7-9-0,1793,1793,2016,9,7,9,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000430560,17051.18
533,533.0,533.0,533,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-41.nc,2016-9-7-20-30,1816,1816,2016,9,7,20,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000436080,17051.41
534,534.0,534.0,534,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-43.nc,2016-9-7-21-30,1818,1818,2016,9,7,21,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000436560,17051.43
535,535.0,535.0,535,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-30.nc,2016-9-7-15-0,1805,1805,2016,9,7,15,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000433440,17051.3
536,536.0,536.0,536,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-06.nc,2016-9-7-3-0,1781,1781,2016,9,7,3,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000427680,17051.06
537,537.0,537.0,537,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-07.nc,2016-9-7-3-30,1782,1782,2016,9,7,3,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000427920,17051.07
